Name,City,IATA Code,Destination Count,Latitude,Longitude
St Gallen Altenrhein Airport,Altenrhein,ACH,2,47.4850006104,9.560770034789998
Dresden Airport,Dresden,DRS,22,51.1328010559082,13.767200469970705
Düsseldorf Airport,Duesseldorf,DUS,285,51.289501,6.766780000000001
Marina Di Campo Airport,Marina Di Campo,EBA,5,42.7603,10.2394
Friedrichshafen Airport,Friedrichshafen,FDH,13,47.671298980699994,9.511489868160002
Memmingen Allgau Airport,Memmingen,FMM,23,47.9888000488,10.2395000458
Graz Airport,Graz,GRZ,19,46.9911003112793,15.439599990844727
Hamburg Airport,Hamburg,HAM,161,53.630401611328004,9.988229751586902
Munich Airport,Munich,MUC,368,48.353802,11.7861
Naples International Airport,Naples,NAP,79,40.886002000000005,14.2908
Olbia Costa Smeralda Airport,Olbia,OLB,52,40.898701,9.51763
Salzburg Airport,Salzburg,SZG,34,47.793300628699996,13.0043001175
Berlin-Tegel Airport,Berlin,TXL,208,52.5597,13.2877
Zadar Airport,Zadar,ZAD,26,44.108299,15.3467
Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,915,33.6367,-84.428101
South Bimini Airport,Alice Town,BIM,2,25.6998996735,-79.2647018433
North Eleuthera Airport,North Eleuthera,ELH,8,25.474899291999996,-76.6835021973
Key West International Airport,Key West,EYW,16,24.556100845336914,-81.75959777832031
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FLL,186,26.072599,-80.152702
Grand Bahama International Airport,Freeport,FPO,15,26.5587005615,-78.695602417
Exuma International Airport,Great Exuma,GGT,10,23.5625991821,-75.8779983521
Governor's Harbour Airport,Governor's Harbor,GHB,4,25.2847003937,-76.3310012817
Mid Delta Regional Airport,Greenville,GLH,1,33.482898712158196,-90.98560333251952
Gainesville Regional Airport,Gainesville,GNV,12,29.6900997162,-82.27179718020001
Jacksonville International Airport,Jacksonville,JAX,46,30.49410057067871,-81.68789672851562
Greenbrier Valley Airport,Lewisburg,LWB,2,37.8582992554,-80.3994979858
Middle Georgia Regional Airport,Macon,MCN,2,32.692798614501946,-83.64920043945312
Orlando International Airport,Orlando,MCO,237,28.429399490356445,-81.30899810791016
Key Field,Meridian,MEI,1,32.33259963989258,-88.75189971923828
Leonard M Thompson International Airport,Marsh Harbor,MHH,14,26.5114,-77.08350300000001
Northwest Alabama Regional Airport,Muscle Shoals,MSL,1,34.74530029,-87.61019897
Palm Beach International Airport,West Palm Beach,PBI,44,26.68320083618164,-80.09559631347656
Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,PIB,1,31.467100143432614,-89.33709716796875
Pensacola Regional Airport,Pensacola,PNS,21,30.473400115967003,-87.18659973144501
Southwest Florida International Airport,Fort Myers,RSW,63,26.53619956970215,-81.75520324707031
Treasure Cay Airport,Treasure Cay,TCB,2,26.745300293000003,-77.3912963867
Tallahassee Regional Airport,Tallahassee,TLH,15,30.396499633789066,-84.35030364990234
Tampa International Airport,Tampa,TPA,138,27.975500106811523,-82.533203125
Tupelo Regional Airport,Tupelo,TUP,2,34.26810073852539,-88.7698974609375
Amsterdam Airport Schiphol,Amsterdam,AMS,453,52.308601,4.76389
